cohort_id,drug_id,metric,mean,sd,median,mad,p25,p75,tenant_id,user_id,p10,p90,min,max,p5,p95
1,1,logEC50,1.2591926,0.8993453,1.10946,0.5392665,0.77230304,1.4977782,NA,NA,0.54584235,1.94353,-0.87688965,6,0.40758762,2.2445917
1,2,logEC50,2.0379305,1.011333,2.0696762,0.8919352,1.4473736,2.6593225,NA,NA,0.7339021,3.2766056,-0.98795563,6,0.3830533,3.579308
1,3,logEC50,0.8244805,0.9491354,0.6981762,0.31859437,0.45487756,0.90972304,NA,NA,0.3523854,1.0232391,-0.20327348,6,0.21056198,1.2445635
1,6,logEC50,3.234005,1.2532066,3.2575462,1.0820116,2.3377604,3.79921,NA,NA,1.8751893,5.9044724,0.27000445,6,1.4454194,6
1,7,logEC50,4.1141434,1.6064095,4.0880237,2.2433567,3.0289745,6,NA,NA,2.0988762,6,-1.2645949,6,1.552173,6
1,8,logEC50,2.3599644,1.7031165,1.8646941,1.1460294,1.1580156,3.0931525,NA,NA,0.7404453,5.7954674,-0.98783547,6,0.44859424,6
1,10,logEC50,2.1523771,0.49258095,2.155255,0.45000672,1.8818651,2.480525,NA,NA,1.5743926,2.6426558,0.694312,6,1.433426,2.729195
1,11,logEC50,3.647166,1.2568792,3.324401,0.91600496,2.8688574,4.185864,NA,NA,2.2295632,6,-0.92144895,6,2.0907724,6
1,12,logEC50,3.4060671,1.9316374,3.2818909,2.0445783,2.0824027,4.979303,NA,NA,0.88093567,6,-0.99359846,6,0.48229384,6
1,13,logEC50,2.027628,1.3738067,1.7769651,0.620977,1.3443499,2.1835945,NA,NA,0.76842916000000006,4.083578,-1.3826227,6,0.49987593,6
1,14,logEC50,1.7303344,1.4403086,1.4465474,0.67016643,0.94985753,1.8366677,NA,NA,0.52830565,3.950978,-0.33760428,6,0.283738,6
1,20,logEC50,2.0211318,1.4159029,1.9377745,0.89884126,1.297082,2.5202007,NA,NA,0.41828135,4.0576625,-0.98745185,6,-0.26038218,4.72927
1,31,logEC50,3.4343503,1.2280668,3.247927,0.45159304,2.9361954,3.54861,NA,NA,2.286949,6,-1,6,1.8763877,6
1,39,logEC50,4.0503473,1.5867441,3.7199326,2.0394948,2.8183324,6,NA,NA,2.215131,6,-0.8701209,6,1.969273,6
1,50,logEC50,3.7121077,1.4090735,3.3361735,1.2235777,2.6859553,4.3735604,NA,NA,2.2178626,6,-0.41805205,6,1.8902764,6
1,53,logEC50,3.237012,0.95677835,3.0559983,0.50365686,2.775389,3.4555326,NA,NA,2.3658252,4.1405964,-0.27588326,6,2.1956882,6
1,73,logEC50,1.9678532,0.7889512,1.9351115,0.5432465,1.6072682,2.315032,NA,NA,1.1781869,2.8097932,-1.338874,6,0.69897,3.250753
1,115,logEC50,3.0195234,1.9377613,2.5560637,1.9362851,1.6793461,4.381701,NA,NA,0.6965386,6,-2,6,0.41691867,6
1,1,b,1.6779683,0.6569055,1.684155,0.9191712,1.1347071,2.4143598,NA,NA,0.7931209,2.5,0.08624595,2.5,0.58886695,2.5
1,2,b,1.0652561,0.667638,0.8721809,0.50452644,0.57387525,1.3798733,NA,NA,0.38639566,2.265519,0,2.5,0.2668265,2.5
1,3,b,2.3453329,0.42823827,2.5,0,2.5,2.5,NA,NA,2.0550077,2.5,0.19708392,2.5,1,2.5
1,6,b,1.0815737,0.7843591,0.9649889,0.807528,0.4433298,1.653758,NA,NA,0.20921895,2.5,0,2.5,0.13844536,2.5
1,7,b,1.1851933,0.8147862,1,0.8753691,0.50235844,1.9583213,NA,NA,0.19520281,2.5,0,2.5,0.05832255,2.5
1,8,b,1.0661646,0.82445276,0.93573827,0.9097781,0.342594,1.6035835,NA,NA,0.11564043,2.5,-5.55E-17,2.5,0.03488647,2.5
1,10,b,1.8659327000000001,0.61583644,1.992464,0.752473,1.3304038,2.5,NA,NA,0.9971244,2.5,0.28069678,2.5,0.76880085,2.5
1,11,b,1.3619496,0.77771664,1.0030653,0.704209,0.77587616,2.193569,NA,NA,0.44150305,2.5,0,2.5,0.26199192,2.5
1,12,b,0.885115,0.7811468,0.761944,0.7571171,0.22267279,1.0478033,NA,NA,0.06714225,2.5,0,2.5,0.001098693,2.5
1,13,b,1.6796833,0.8078586,1.8137119,1.0174907,1,2.5,NA,NA,0.59754515,2.5,0,2.5,0.32912388,2.5
1,14,b,1.5756141,0.7686828,1.4321247,1.0302417,0.9860112,2.5,NA,NA,0.5827185,2.5,-9.82E-17,2.5,0.42825845,2.5
1,20,b,0.82809937,0.71734643,0.59126,0.49385545,0.31257248,1,NA,NA,0.19498917,2.3932374,0,2.5,0.12125256,2.5
1,31,b,1.7324674,0.839462,2.0964532,0.5982985,1,2.5,NA,NA,0.5407266,2.5,0,2.5,0.1875429,2.5
1,39,b,1.3058954,0.77340806,1,0.6410131,1,2.0640965,NA,NA,0.34763604,2.5,-7.37E-17,2.5,0.14392263,2.5
1,50,b,1.3233521,0.7952713,1,0.67845863,0.75468415,2.3003826,NA,NA,0.40509486,2.5,0,2.5,0.14027117,2.5
1,53,b,1.5657502,0.7638874,1.4412383,0.9566079,1,2.5,NA,NA,0.6274848,2.5,0.051172514,2.5,0.33838904,2.5
1,73,b,1.2953048,0.7631031,1.0929166,0.78302675,0.66099346,1.8953464,NA,NA,0.39777252,2.5,0.04768939,2.5,0.27379516,2.5
1,115,b,0.8352084,0.75756675,0.63930386,0.5710911,0.22803536,1,NA,NA,0.097383305,2.496649,-5.55E-17,2.5,0.027979752,2.5
1,1,c,0.069754995,0.18543774,0,0,0,0.032043442,NA,NA,0,0.20050639,-1.97E-18,1,0,0.435562
